tau_clf,tau_entropy,tau_cos,tau_margin,tau_knn,accepted,coverage,precision
0.95,0.6,0.8,0.1,0.6,9716,0.5394181656673329,0.9966035405516673
0.95,0.6,0.8,0.15,0.6,9716,0.5394181656673329,0.9966035405516673
0.95,0.6,0.8,0.2,0.6,9716,0.5394181656673329,0.9966035405516673
0.95,0.3,0.9,0.1,0.6,9340,0.5185431934266045,0.9965738758029978
0.95,0.3,0.9,0.15,0.6,9340,0.5185431934266045,0.9965738758029978
0.95,0.3,0.9,0.2,0.6,9340,0.5185431934266045,0.9965738758029978
0.95,0.4,0.9,0.1,0.6,9340,0.5185431934266045,0.9965738758029978
0.95,0.4,0.9,0.15,0.6,9340,0.5185431934266045,0.9965738758029978
0.95,0.4,0.9,0.2,0.6,9340,0.5185431934266045,0.9965738758029978
0.95,0.6,0.9,0.1,0.6,9340,0.5185431934266045,0.9965738758029978
0.95,0.6,0.9,0.15,0.6,9340,0.5185431934266045,0.9965738758029978
0.95,0.6,0.9,0.2,0.6,9340,0.5185431934266045,0.9965738758029978
0.85,0.3,0.7,0.1,0.8,9883,0.5486897623806352,0.9965597490640494
0.85,0.3,0.7,0.15,0.8,9883,0.5486897623806352,0.9965597490640494
0.85,0.3,0.7,0.2,0.8,9883,0.5486897623806352,0.9965597490640494
0.9,0.3,0.7,0.1,0.8,9883,0.5486897623806352,0.9965597490640494
0.9,0.3,0.7,0.15,0.8,9883,0.5486897623806352,0.9965597490640494
0.9,0.3,0.7,0.2,0.8,9883,0.5486897623806352,0.9965597490640494
0.85,0.3,0.8,0.1,0.8,9880,0.5485232067510548,0.9965587044534413
0.85,0.3,0.8,0.15,0.8,9880,0.5485232067510548,0.9965587044534413
0.85,0.3,0.8,0.2,0.8,9880,0.5485232067510548,0.9965587044534413
0.9,0.3,0.8,0.1,0.8,9880,0.5485232067510548,0.9965587044534413
0.9,0.3,0.8,0.15,0.8,9880,0.5485232067510548,0.9965587044534413
0.9,0.3,0.8,0.2,0.8,9880,0.5485232067510548,0.9965587044534413
0.85,0.3,0.9,0.1,0.8,9488,0.5267599378192316,0.9965219224283305
0.85,0.3,0.9,0.15,0.8,9488,0.5267599378192316,0.9965219224283305
0.85,0.3,0.9,0.2,0.8,9488,0.5267599378192316,0.9965219224283305
0.9,0.3,0.9,0.1,0.8,9488,0.5267599378192316,0.9965219224283305
0.9,0.3,0.9,0.15,0.8,9488,0.5267599378192316,0.9965219224283305
0.9,0.3,0.9,0.2,0.8,9488,0.5267599378192316,0.9965219224283305
0.85,0.3,0.7,0.1,0.6,9925,0.5510215411947591,0.9964735516372796
0.85,0.3,0.7,0.15,0.6,9925,0.5510215411947591,0.9964735516372796
0.85,0.3,0.7,0.2,0.6,9925,0.5510215411947591,0.9964735516372796
0.9,0.3,0.7,0.1,0.6,9925,0.5510215411947591,0.9964735516372796
0.9,0.3,0.7,0.15,0.6,9925,0.5510215411947591,0.9964735516372796
0.9,0.3,0.7,0.2,0.6,9925,0.5510215411947591,0.9964735516372796
0.85,0.3,0.8,0.1,0.6,9922,0.5508549855651788,0.9964724853860109
0.85,0.3,0.8,0.15,0.6,9922,0.5508549855651788,0.9964724853860109
0.85,0.3,0.8,0.2,0.6,9922,0.5508549855651788,0.9964724853860109
0.9,0.3,0.8,0.1,0.6,9922,0.5508549855651788,0.9964724853860109
0.9,0.3,0.8,0.15,0.6,9922,0.5508549855651788,0.9964724853860109
0.9,0.3,0.8,0.2,0.6,9922,0.5508549855651788,0.9964724853860109
0.85,0.3,0.9,0.1,0.6,9528,0.5289806795469687,0.996431570109152
0.85,0.3,0.9,0.15,0.6,9528,0.5289806795469687,0.996431570109152
0.85,0.3,0.9,0.2,0.6,9528,0.5289806795469687,0.996431570109152
0.9,0.3,0.9,0.1,0.6,9528,0.5289806795469687,0.996431570109152
0.9,0.3,0.9,0.15,0.6,9528,0.5289806795469687,0.996431570109152
0.9,0.3,0.9,0.2,0.6,9528,0.5289806795469687,0.996431570109152
0.9,0.6,0.7,0.1,1.0,11867,0.6588385520763935,0.9963765062779135
0.9,0.6,0.7,0.15,1.0,11867,0.6588385520763935,0.9963765062779135
0.9,0.6,0.7,0.2,1.0,11867,0.6588385520763935,0.9963765062779135
0.9,0.6,0.8,0.1,1.0,11847,0.657728181212525,0.9963703891280493
0.9,0.6,0.8,0.15,1.0,11847,0.657728181212525,0.9963703891280493
0.9,0.6,0.8,0.2,1.0,11847,0.657728181212525,0.9963703891280493
0.85,0.6,0.9,0.1,1.0,11204,0.6220297579391517,0.9958943234559086
